paused,pause_remaining,multiplier,bet,profit,balance,consecutive_losses,recent_rate,hit,last_streak,date,actual,predictions
False,1,0.8,12.0,25.6,25.6,0,1.0,True,0.0,2025/05/11,47,"[10, 3, 45, 1, 6]"
True,0,0.0,0.0,0.0,25.6,0,1.0,True,,2025/05/12,2,"[2, 10, 3, 45, 6]"
False,1,0.8,12.0,25.6,51.2,0,1.0,True,0.0,2025/05/13,10,"[3, 10, 45, 49, 6]"
True,0,0.0,0.0,0.0,51.2,0,1.0,False,,2025/05/14,14,"[49, 3, 6, 1, 45]"
False,0,0.8,12.0,-12.0,39.2,0,0.6666666666666666,False,,2025/05/15,37,"[3, 40, 1, 49, 45]"
False,0,1.5,22.5,-22.5,16.700000000000003,1,0.5,False,,2025/05/16,9,"[3, 1, 49, 45, 40]"
False,0,1.8,27.0,-27.0,-10.299999999999997,2,0.4,False,,2025/05/17,36,"[47, 3, 1, 45, 49]"
False,0,2.7,40.5,-40.5,-50.8,3,0.3333333333333333,False,,2025/05/18,41,"[2, 47, 3, 45, 1]"
False,0,5.0,75.0,-75.0,-125.8,4,0.2857142857142857,False,,2025/05/19,14,"[2, 10, 47, 3, 1]"
False,0,8.0,120.0,-120.0,-245.8,5,0.25,False,,2025/05/20,11,"[2, 10, 3, 47, 1]"
False,1,10.0,150.0,320.0,74.19999999999999,6,0.3333333333333333,True,6.0,2025/05/21,13,"[2, 10, 3, 47, 1]"
True,0,0.0,0.0,0.0,74.19999999999999,0,0.3333333333333333,False,,2025/05/22,44,"[2, 10, 23, 9, 37]"
False,1,0.8,12.0,25.6,99.79999999999998,0,0.4,True,0.0,2025/05/23,10,"[10, 36, 2, 23, 9]"
True,0,0.0,0.0,0.0,99.79999999999998,0,0.4,False,,2025/05/24,25,"[9, 36, 23, 2, 24]"
False,0,0.8,12.0,-12.0,87.79999999999998,0,0.36363636363636365,False,,2025/05/25,17,"[14, 9, 23, 36, 2]"
False,0,1.5,22.5,48.0,135.79999999999998,1,0.4166666666666667,True,1.0,2025/05/26,14,"[14, 11, 9, 2, 36]"
False,0,0.8,12.0,-12.0,123.79999999999998,0,0.3333333333333333,False,,2025/05/27,32,"[11, 13, 2, 36, 9]"
False,0,1.5,22.5,48.0,171.79999999999998,1,0.3333333333333333,True,1.0,2025/05/28,2,"[11, 13, 44, 2, 9]"
False,1,0.8,12.0,25.6,197.39999999999998,0,0.4166666666666667,True,0.0,2025/05/29,41,"[10, 13, 11, 9, 23]"
True,0,0.0,0.0,0.0,197.39999999999998,0,0.4166666666666667,True,,2025/05/30,40,"[25, 10, 13, 11, 9]"
False,0,0.8,12.0,-12.0,185.39999999999998,0,0.4166666666666667,False,,2025/05/31,38,"[10, 9, 44, 1, 3]"
False,0,1.5,22.5,48.0,233.39999999999998,1,0.5,True,1.0,2025/06/01,10,"[10, 9, 44, 14, 3]"
False,0,0.8,12.0,-12.0,221.39999999999998,0,0.5,False,,2025/06/02,43,"[9, 44, 14, 3, 1]"
False,0,1.5,22.5,-22.5,198.89999999999998,1,0.5,False,,2025/06/03,26,"[2, 9, 3, 44, 1]"
False,0,1.8,27.0,-27.0,171.89999999999998,2,0.5,False,,2025/06/04,45,"[2, 9, 41, 3, 44]"
False,0,2.7,40.5,-40.5,131.39999999999998,3,0.4166666666666667,False,,2025/06/05,18,"[2, 9, 40, 41, 3]"
False,0,5.0,75.0,-75.0,56.39999999999998,4,0.3333333333333333,False,,2025/06/06,23,"[2, 9, 40, 41, 3]"
False,1,8.0,120.0,256.0,312.4,5,0.4166666666666667,True,5.0,2025/06/07,5,"[10, 2, 9, 40, 41]"
True,0,0.0,0.0,0.0,312.4,0,0.4166666666666667,False,,2025/06/08,31,"[10, 2, 43, 40, 9]"
False,1,0.8,12.0,25.6,338.0,0,0.4166666666666667,True,0.0,2025/06/09,11,"[10, 2, 43, 9, 41]"
True,0,0.0,0.0,0.0,338.0,0,0.4166666666666667,False,,2025/06/10,16,"[26, 10, 14, 2, 17]"
False,0,0.8,12.0,-12.0,326.0,0,0.4166666666666667,False,,2025/06/11,1,"[18, 10, 26, 2, 14]"
